,0,1
156,2019/02/05,0.9871395856509217
157,2019/02/06,0.9870663613307613
158,2019/02/07,0.9869931279350067
159,2019/02/08,0.9869198850504959
160,2019/02/09,0.986846632264068
161,2019/02/10,0.9867733691625613
162,2019/02/11,0.9867000953328136
163,2019/02/12,0.9866268103616641
164,2019/02/13,0.9865535138359506
165,2019/02/14,0.9864802053425118
166,2019/02/15,0.9864068844681864
167,2019/02/16,0.986333550799812
168,2019/02/17,0.9862602039242273
169,2019/02/18,0.9861868434282711
170,2019/02/19,0.9861134688987814
171,2019/02/20,0.9860400799225969
172,2019/02/21,0.9859666760865554
173,2019/02/22,0.9858932569774962
174,2019/02/23,0.9858198221822569
175,2019/02/24,0.9857463712876764
176,2019/02/25,0.9856729038805929
177,2019/02/26,0.9855994195478448
178,2019/02/27,0.9855259178762703
179,2019/02/28,0.9854523984527084
180,2019/03/01,0.9853788608639967
181,2019/03/02,0.9853053046969742
182,2019/03/03,0.9852317295384789
183,2019/03/04,0.9851581349753499
184,2019/03/05,0.9850845205944246
185,2019/03/06,0.9850108859825424
186,2019/03/07,0.9849372307265407
187,2019/03/08,0.9848635544132585
188,2019/03/09,0.9847898566295344
189,2019/03/10,0.9847161369622065
190,2019/03/11,0.9846423949981128
191,2019/03/12,0.9845686303240924
192,2019/03/13,0.9844948425269834
193,2019/03/14,0.9844210311936238
194,2019/03/15,0.984347195910853
195,2019/03/16,0.9842733362655083
196,2019/03/17,0.9841994518444287
197,2019/03/18,0.9841255422344528
198,2019/03/19,0.9840516070224185
199,2019/03/20,0.983977645795164
200,2019/03/21,0.9839036581395286
201,2019/03/22,0.9838296436423499
202,2019/03/23,0.9837556018904668
203,2019/03/24,0.9836815324707173
204,2019/03/25,0.9836074349699401
205,2019/03/26,0.9835333089749733
206,2019/03/27,0.9834591540726557
207,2019/03/28,0.9833849698498254
208,2019/03/29,0.983310755893321
209,2019/03/30,0.9832365117899805
210,2019/03/31,0.9831622371266426
211,2019/04/01,0.9830879314901461
212,2019/04/02,0.9830135944673285
213,2019/04/03,0.9829392256450287
214,2019/04/04,0.9828648246100854
215,2019/04/05,0.9827903909493363
216,2019/04/06,0.9827159242496203
217,2019/04/07,0.9826414240977758
218,2019/04/08,0.9825668900806408
219,2019/04/09,0.9824923217850543
220,2019/04/10,0.982417718797854
221,2019/04/11,0.982343080705879
222,2019/04/12,0.9822684070959672
223,2019/04/13,0.9821936975549571
224,2019/04/14,0.9821189516696872
225,2019/04/15,0.9820441690269959
226,2019/04/16,0.9819693492137216
227,2019/04/17,0.9818944918167026
228,2019/04/18,0.9818195964227775
229,2019/04/19,0.9817446626187841
230,2019/04/20,0.9816696899915616
231,2019/04/21,0.9815946781279481
232,2019/04/22,0.981519626614782
233,2019/04/23,0.9814445350389013
234,2019/04/24,0.981369402987145
235,2019/04/25,0.9812942300463513
236,2019/04/26,0.9812190158033582
237,2019/04/27,0.9811437598450049
238,2019/04/28,0.981068461758129
239,2019/04/29,0.9809931211295695
